CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LD50 (g/kg),Averaged LD50 (mol/kg),-log10(mol/kg)
3383968,"O,O'-(Thiodi-4,1-phenylene) O,O,O',O'-tetramethyl ester phosphorothioic acid",CO[P](=S)(OC)Oc1ccc(Sc2ccc(O[P](=S)(OC)OC)cc2)cc1,466.47900000000016,6.266666666666667,0.0134339738051802,1.9260518025981808
11097691,PCB 1254,Clc1cccc(c1Cl)c2ccc(Cl)c(Cl)c2Cl,326.437,0.841,0.0025763010933196,2.589003382179535
52315078,"3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester",CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,416.30400000000014,0.1260377777777778,0.0003027541839083,3.7840360480076582
121755,"2-[(Dimethoxyphosphinothioyl)thio]butanedioic acid 1,4-diethyl ester",CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,330.3640000000001,1.07954375,0.0032677402804179,2.6200379153631004
134203,"2-Aminobenzoic acid, Methyl ester",COC(=O)c1ccccc1N,151.16499999999996,2.683333333333333,0.0177510226132592,1.7557985200337418
3572063,4-[4-(Acetyloxy)phenyl]-2-butanone,CC(=O)CCc1ccc(OC(C)=O)cc1,206.241,3.038,0.0147303397481587,1.8317872362497685
114261,"2-(1-Methylethoxy)phenol, 1-(N-Methylcarbamate)",CNC(=O)Oc1ccccc1OC(C)C,209.245,0.07366,0.0003520275275394,3.509804684624406
315184,"4-(Dimethylamino)-3,5-dimethylphenol, Methylcarbamate(ester)",CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,222.288,0.0141,6.343122435759016e-05,4.197696905714101
433976,2-(Trifluoromethyl)benzoic acid,OC(=O)c1ccccc1C(F)(F)F,190.11999999999995,5.0,0.0262991794656006,1.580057801286702
16090021,"2,2'-(1,2-Ethanediyl)bis[5-[[4-(4-morpholinyl)-6-phenylamino-1,3,5-triazin-2-yl]amino]benzenesulfonic acid disodium salt",[Na+].[Na+].[O-][S](=O)(=O)c1cc(Nc2nc(Nc3ccccc3)nc(n2)N4CCOCC4)ccc1/C=C/c5ccc(Nc6nc(Nc7ccccc7)nc(n6)N8CCOCC8)cc5[S]([O-])(=O)=O,924.9339999999996,5.0,0.0054057911159066,2.267140739799293
38615439,"N1-Butyl-1,6-hexanediamine",CCCCNCCCCCCN,172.31599999999997,0.475,0.0027565635228301,2.5632430393139582
352329,1-Fluoro-4-methylbenzene,Cc1ccc(F)cc1,110.131,7.0,0.0635606686582342,1.1968115426626764
2439103,N-Dodecylguanidine acetate (1:1),CCCCCCCCCCCCN=C(N)N.CC(O)=O,287.448,1.008165,0.003507295232529,2.457814455884521
2437298,"N-[4-[[4-(Dimethylamino)phenyl]phenylmethylene]-2,5-cyclohexadien-1-ylidene]-N-methylmethanaminium ethanedioate, Ethanedioate (2:2:1)",CN(C)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(C)C.CN(C)c4ccc(cc4)[C+](c5ccccc5)c6ccc(cc6)N(C)C.OC(=O)C(O)=O.OC(=O)C([O-])=O.OC(=O)C([O-])=O,927.0200000000004,0.52,0.0005609371966084,3.2510857603003567
51630581,4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3,419.908,0.75025,0.0017867008963868,3.0568733028812964
455243,4-(Trifluoromethyl)benzoic acid,OC(=O)c1ccc(cc1)C(F)(F)F,190.11999999999995,5.0,0.0262991794656006,1.580057801286702
54115,3-[(2S)-1-Methyl-2-pyrrolidinyl]pyridine,CN1CCC[C@H]1c2cccnc2,162.236,0.0193,0.0001189624990754,3.92458992105583
333415,"O,O-Diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester phosphorothioic acid",CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,304.35200000000003,0.3653333333333333,0.0012003644902393,2.9437520022218657
583391,"1,3-Dihydro-2H-benzimidazole-2-thione",S=C1Nc2ccccc2N1,150.206,0.3,0.0019972571002489,2.699566026249731
52686,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,257.437,0.375,0.0014566670680593,2.836639698076967
