CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LC50 (ug/org),Averaged LC50 (mol/org),-log10(mol/org),contains_metal
66-81-9,"4-[(2R)-2-[(1S,3S,5S)-3,5-Dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]-2,6-piperidinedione",C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,281.35200000000003,241.72,8.591373084250333e-07,0.0659374211212578,False
72-20-8,"3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-[2,7:3,6-dimethanonaphth[2,3-b]oxirene,[1a alpha,2 beta,2a beta,3 alpha,6 alpha,6a beta,7 beta,7a alpha]",ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,380.913,1.0475,2.749971778332585e-09,2.5606717631069444,False
1071-83-6,N-(Phosphonomethyl)glycine,OC(=O)CNC[P](O)(O)=O,169.073,121.25,7.171458482430665e-07,0.1443925114928933,False
51235-04-2,"3-Cyclohexyl-6-(dimethylamino)-1-methyl-1,3,5-triazine-2,4-(1H,3H)dione",CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,252.31799999999993,100.0,3.963252720772994e-07,0.4019482335608966,False
55-38-9,"O,O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid",CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,278.335,0.308,1.1065802001185623e-09,2.9560171048214694,False
134098-61-6,"4-[[[(E)-[(1,3-Dimethyl-5-phenoxy-1H-pyrazol-4-yl)methylene]amino]oxy]methyl]benzoic acid, 1,1-Dimethylethyl ester",Cn1nc(C)c(\C=N\OCc2ccc(cc2)C(=O)OC(C)(C)C)c1Oc3ccccc3,421.4970000000002,104.00400000000002,2.467490871821151e-07,0.6077444452743486,False
112-05-0,Nonanoic acid,CCCCCCCCC(O)=O,158.241,25.0,1.579868681315209e-07,0.8013790101027403,False
105512-06-9,"(2R)-2-[4-[(5-Chloro-3-fluoro-2-pyridinyl)oxy]phenoxy]propanoic acid, 2-Propyn-1-yl ester",C[C@@H](Oc1ccc(Oc2ncc(Cl)cc2F)cc1)C(=O)OCC#C,349.7450000000001,100.0,2.8592260075197633e-07,0.5437515144778575,False
153719-23-4,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",CN1COCN(Cc2sc(Cl)nc2)/C1=N/[N+]([O-])=O,291.72,0.06521875,2.2356626216920335e-10,3.6505937341454127,False
731-27-1,"1,1-Dichloro-N-[(dimethylamino)sulfonyl]-1-fluoro-N-(4-methylphenyl)methanesulfenamide",CN(C)[S](=O)(=O)N(SC(F)(Cl)Cl)c1ccc(C)cc1,347.26400000000007,71.5,2.058952266863251e-07,0.6863537216083839,False
17804-35-2,"N-[1-[(Butylamino)carbonyl]-1H-benzimidazol-2-yl]carbamic acid, Methyl ester",CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,290.323,145986699.69428572,0.5028423503969225,-5.7014318477114925,False
175013-18-0,[2-[[[1-(4-Chlorophenyl)-1H-pyrazol-3-yl]oxy]methyl]phenyl]methoxycarbamic acid methyl ester,CON(C(=O)OC)c1ccccc1COc2ccn(n2)c3ccc(Cl)cc3,387.8230000000001,103.33333333333331,2.664445722232392e-07,0.5743931224018872,False
309-00-2,"(1R,4S,4aS,5S,8R,8aR)-rel-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene",ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,364.914,0.2145999999999999,5.880837676822482e-10,3.2305608078506727,False
834-12-8,"N2-Ethyl-N4-(1-methylethyl)-6-(methylthio)-1,3,5-triazine-2,4-diamine",CCNc1nc(NC(C)C)nc(SC)n1,227.337,98.345,4.325956619468015e-07,0.363917839963993,False
13684-56-5,"N-[3-[[(Phenylamino)carbonyl]oxy]phenyl]carbamic acid, Ethyl ester",CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,300.314,50.0,1.664924046165014e-07,0.7786055742200161,False
2163-80-6,"Methylarsonic acid, Monosodium salt",[Na+].C[As](O)([O-])=O,161.952,46.085,2.845596226042284e-07,0.5458267238027715,False
3547-33-9,2-(Octylsulfanyl)ethan-1-ol,CCCCCCCCSCCO,190.352,56.9,2.989198957720434e-07,0.5244451778464665,False
872-50-4,1-Methyl-2-pyrrolidinone,CN1CCCC1=O,99.133,2000.0,2.017491652628287e-05,-1.3048117465044065,False
52645-53-1,"3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid, (3-Phenoxyphenyl)methyl ester",CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2,391.2940000000001,0.1765,4.5106748378457104e-10,3.345758478869736,False
1910-42-5,"1,1'-Dimethyl-4,4'-bipyridinium chloride (1:2)",[Cl-].[Cl-].C[n+]1ccc(cc1)c2cc[n+](C)cc2,257.164,80.83333333333333,3.143260072690319e-07,0.5026196840598881,False
2032-65-7,"3,5-Dimethyl-4-(methylthio)phenol, Methylcarbamate",CNC(=O)Oc1cc(C)c(SC)c(C)c1,225.313,0.375,1.6643513689844795e-09,2.7787549824310274,False
129630-19-9,2-[2-Chloro-5-[4-chloro-5-(difluoromethoxy)-1-methyl-1H-pyrazol-3-yl]-4-fluorophenoxy]acetic acid ethyl ester,CCOC(=O)COc1cc(c(F)cc1Cl)c2nn(C)c(OC(F)F)c2Cl,413.1790000000001,103.99666666666668,2.5169881980126444e-07,0.5991188208243033,False
93-72-1,"2-(2,4,5-Trichlorophenoxy)propanoic acid",CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O,269.511,241.72,8.968836151400126e-07,0.047263909889971,False
999-81-5,"2-Chloro-N,N,N-trimethylethanaminium chloride (1:1)",[Cl-].C[N+](C)(C)CCCl,158.072,111.5,7.053747659294499e-07,0.151580080837536,False
485-31-4,"3-Methyl-2-butenoic acid 2-(1-methylpropyl)-4,6-dinitrophenyl ester",CCC(C)c1cc(cc(c1OC(=O)C=C(C)C)[N+]([O-])=O)[N+]([O-])=O,322.31700000000006,11.6,3.59894141481833e-08,1.4438252229298083,False
1928-43-4,"2-(2,4-Dichlorophenoxy)acetic acid, 2-Ethylhexyl ester",CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,333.255,100.0,3.000705165713943e-07,0.5227766740832549,False
608-73-1,"1,2,3,4,5,6-Hexachlorocyclohexane",ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,290.832,0.562,1.932387082576883e-09,2.7139058743030557,False
150-68-5,"N'-(4-chlorophenyl)-N,N-dimethylurea",CN(C)C(=O)Nc1ccc(Cl)cc1,198.653,110.0,5.537293672886893e-07,0.2567024428720077,False
22248-79-9,"Phosphoric acid (1Z)-2-chloro-1-(2,4,5-trichlorophenyl)ethenyl dimethyl ester",CO[P](=O)(OC)OC(=C/Cl)/c1cc(Cl)c(Cl)cc1Cl,365.96400000000006,1.37,3.7435376157217654e-09,2.426717798646983,False
33629-47-9,"4-(1,1-Dimethylethyl)-N-(1-methylpropyl)-2,6-dinitrobenzenamine",CCC(C)Nc1c(cc(cc1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,295.339,96.4,3.264045723727649e-07,0.4862437661487144,False
156052-68-5,"3,5-Dichloro-N-(3-chloro-1-ethyl-1-methyl-2-oxopropyl)-4-methylbenzamide",CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl,336.6460000000001,59.2,1.7585237905693219e-07,0.7548517518604948,False
